"No.","Time","Source","Destination","Protocol","Length","Info"
"2008","11.602640","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x40f8 A 1FjuRiR8.reddshrimpandherring.com"
"2010","11.644393","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1ea7 A 1FjuRiR8.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2012","11.656124","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x4a07 A 1FjuRiR8.reddshrimpandherring.com.windomain.local"
"2014","11.666647","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x523f A jVZNhQOT.reddshrimpandherring.com"
"2018","11.709123","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa459 A jVZNhQOT.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2020","11.720356","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x4ee0 A jVZNhQOT.reddshrimpandherring.com.windomain.local"
"2022","11.730929","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x7beb A ZtxW+iuv.reddshrimpandherring.com"
"2031","11.776329","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3d3a A ZtxW+iuv.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2033","11.788019","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xdff5 A ZtxW+iuv.reddshrimpandherring.com.windomain.local"
"2036","11.802726","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x9b29 A UWyNwFJZ.reddshrimpandherring.com"
"2038","11.847114","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1d0c A UWyNwFJZ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2040","11.858206","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x958f A UWyNwFJZ.reddshrimpandherring.com.windomain.local"
"2042","11.870534","192.168.38.104","18.217.1.57","DNS","93","Standard query 0x3a30 A RntkbnNf.reddshrimpandherring.com"
"2044","11.922284","192.168.38.104","18.217.1.57","DNS","131","Standard query 0xec57 A RntkbnNf.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2046","11.972605","192.168.38.104","18.217.1.57","DNS","109","Standard query 0xabb9 A RntkbnNf.reddshrimpandherring.com.windomain.local"
"2048","12.022971","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xcc58 A MBJKiAFX.reddshrimpandherring.com"
"2050","12.034685","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xdc92 A MBJKiAFX.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2052","12.047687","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0f9b A MBJKiAFX.reddshrimpandherring.com.windomain.local"
"2054","12.057925","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xef9b A ZLRLdSKq.reddshrimpandherring.com"
"2058","12.104124","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xef14 A ZLRLdSKq.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2060","12.129996","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xa19e A ZLRLdSKq.reddshrimpandherring.com.windomain.local"
"2062","12.140777","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa047 A ++FVriJb.reddshrimpandherring.com"
"2072","12.213553","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xca8b A ++FVriJb.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2074","12.224888","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0d68 A ++FVriJb.reddshrimpandherring.com.windomain.local"
"2076","12.235205","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xfcfc A S8mxGlhF.reddshrimpandherring.com"
"2078","12.278703","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb3ea A S8mxGlhF.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2080","12.292118","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xd0f7 A S8mxGlhF.reddshrimpandherring.com.windomain.local"
"2082","12.302648","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x5741 A 7cNUr26D.reddshrimpandherring.com"
"2084","12.315334","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x98e6 A 7cNUr26D.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2086","12.327047","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3fef A 7cNUr26D.reddshrimpandherring.com.windomain.local"
"2088","12.337530","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x3720 A mC90A9B0.reddshrimpandherring.com"
"2090","12.350245","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5a19 A mC90A9B0.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2092","12.362080","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc4e7 A mC90A9B0.reddshrimpandherring.com.windomain.local"
"2094","12.372554","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x5731 A a3P9pD4z.reddshrimpandherring.com"
"2096","12.415007","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xe4c0 A a3P9pD4z.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2146","12.434132","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3135 A a3P9pD4z.reddshrimpandherring.com.windomain.local"
"2154","12.444693","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6a8b A mq6ivImu.reddshrimpandherring.com"
"2164","12.487383","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5843 A mq6ivImu.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2166","12.498738","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x7dd5 A mq6ivImu.reddshrimpandherring.com.windomain.local"
"2168","12.509375","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xf772 A ZSdLCe14.reddshrimpandherring.com"
"2170","12.521648","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x13ef A ZSdLCe14.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2178","12.533661","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3d7b A ZSdLCe14.reddshrimpandherring.com.windomain.local"
"2181","12.544775","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc495 A fIGPcLax.reddshrimpandherring.com"
"2183","12.559588","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x81ee A fIGPcLax.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2185","12.572870","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x17d5 A fIGPcLax.reddshrimpandherring.com.windomain.local"
"2188","12.583711","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x8f9a A 32eplH1b.reddshrimpandherring.com"
"2190","12.596110","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa7f7 A 32eplH1b.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2192","12.607224","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xeef0 A 32eplH1b.reddshrimpandherring.com.windomain.local"
"2194","12.617601","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xca1d A K7ZFuDrG.reddshrimpandherring.com"
"2196","12.630396","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa7e6 A K7ZFuDrG.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2198","12.649635","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3fcf A K7ZFuDrG.reddshrimpandherring.com.windomain.local"
"2200","12.659987","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc1dd A du8XDVin.reddshrimpandherring.com"
"2202","12.729083","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1b74 A du8XDVin.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2204","12.757023","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xf089 A du8XDVin.reddshrimpandherring.com.windomain.local"
"2206","12.769409","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x075a A Kj9GKCI/.reddshrimpandherring.com"
"2208","12.781683","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xea04 A Kj9GKCI/.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2210","12.792933","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xdab6 A Kj9GKCI/.reddshrimpandherring.com.windomain.local"
"2212","12.803288","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x653a A bxl/NUmd.reddshrimpandherring.com"
"2214","12.815518","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb247 A bxl/NUmd.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2216","12.837026","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x552a A bxl/NUmd.reddshrimpandherring.com.windomain.local"
"2218","12.847457","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x02a8 A 5lZkiKa3.reddshrimpandherring.com"
"2220","12.859359","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8ee6 A 5lZkiKa3.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2222","12.871111","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0d0f A 5lZkiKa3.reddshrimpandherring.com.windomain.local"
"2226","12.883462","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x8cce A tPwzBtD8.reddshrimpandherring.com"
"2228","12.895718","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa26c A tPwzBtD8.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2230","12.907157","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x756e A tPwzBtD8.reddshrimpandherring.com.windomain.local"
"2232","12.917853","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x9adc A dt0idpyB.reddshrimpandherring.com"
"2241","12.964096","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0ff6 A dt0idpyB.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2243","12.983452","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xf694 A dt0idpyB.reddshrimpandherring.com.windomain.local"
"2245","12.993849","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x1589 A GY3VancC.reddshrimpandherring.com"
"2248","13.016430","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x87b8 A GY3VancC.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2250","13.028073","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x4d5b A GY3VancC.reddshrimpandherring.com.windomain.local"
"2252","13.038572","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x57e6 A pFnvUGtZ.reddshrimpandherring.com"
"2254","13.109412","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8ab0 A pFnvUGtZ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2256","13.120896","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc764 A pFnvUGtZ.reddshrimpandherring.com.windomain.local"
"2258","13.131416","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4adc A ttY3YINW.reddshrimpandherring.com"
"2260","13.143618","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5e02 A ttY3YINW.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2262","13.155153","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb901 A ttY3YINW.reddshrimpandherring.com.windomain.local"
"2264","13.165475","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xdcf8 A gie24mjc.reddshrimpandherring.com"
"2266","13.188032","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x88ea A gie24mjc.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2268","13.201239","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3ae9 A gie24mjc.reddshrimpandherring.com.windomain.local"
"2270","13.213412","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x3e65 A NEQMIULq.reddshrimpandherring.com"
"2272","13.235013","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xcf93 A NEQMIULq.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2274","13.246285","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x1f64 A NEQMIULq.reddshrimpandherring.com.windomain.local"
"2276","13.258971","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4336 A 2fHPxt2H.reddshrimpandherring.com"
"2278","13.270829","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xd2fc A 2fHPxt2H.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2282","13.282456","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x844a A 2fHPxt2H.reddshrimpandherring.com.windomain.local"
"2284","13.294798","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x1f6c A +hFPfydr.reddshrimpandherring.com"
"2293","13.340470","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x9483 A +hFPfydr.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2296","13.352145","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc5e9 A +hFPfydr.reddshrimpandherring.com.windomain.local"
"2298","13.364914","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x377f A CormfRcj.reddshrimpandherring.com"
"2300","13.377150","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x49e3 A CormfRcj.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2304","13.388223","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc00a A CormfRcj.reddshrimpandherring.com.windomain.local"
"2306","13.398899","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xb0b1 A OdUL5++a.reddshrimpandherring.com"
"2308","13.442055","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8227 A OdUL5++a.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2310","13.453335","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xf0d1 A OdUL5++a.reddshrimpandherring.com.windomain.local"
"2312","13.465734","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xcd9d A 44ujVBuF.reddshrimpandherring.com"
"2314","13.509734","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x6f29 A 44ujVBuF.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2316","13.521277","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5258 A 44ujVBuF.reddshrimpandherring.com.windomain.local"
"2318","13.531862","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x1aad A bM+BQ8dN.reddshrimpandherring.com"
"2320","13.543705","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x2d45 A bM+BQ8dN.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2322","13.554911","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x308b A bM+BQ8dN.reddshrimpandherring.com.windomain.local"
"2324","13.565473","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x2734 A 8XyIkzP+.reddshrimpandherring.com"
"2326","13.610500","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x2ec7 A 8XyIkzP+.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2328","13.625329","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x8806 A 8XyIkzP+.reddshrimpandherring.com.windomain.local"
"2330","13.636843","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x3f69 A ruXuMxNJ.reddshrimpandherring.com"
"2334","13.649013","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x73ff A ruXuMxNJ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2336","13.660312","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x164a A ruXuMxNJ.reddshrimpandherring.com.windomain.local"
"2338","13.670746","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd836 A MjIGXIqy.reddshrimpandherring.com"
"2340","13.685109","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xec7d A MjIGXIqy.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2349","13.697696","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x1a76 A MjIGXIqy.reddshrimpandherring.com.windomain.local"
"2351","13.709340","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x50f6 A 05lusaWy.reddshrimpandherring.com"
"2354","13.754840","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1c32 A 05lusaWy.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2356","13.766917","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x255c A 05lusaWy.reddshrimpandherring.com.windomain.local"
"2358","13.777244","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x42a1 A IXbbtV+m.reddshrimpandherring.com"
"2360","13.823169","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xe7cf A IXbbtV+m.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2362","13.836335","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9065 A IXbbtV+m.reddshrimpandherring.com.windomain.local"
"2364","13.846767","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0a4d A 6tNHEBtX.reddshrimpandherring.com"
"2366","13.891855","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xfaec A 6tNHEBtX.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2368","13.903271","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5cd7 A 6tNHEBtX.reddshrimpandherring.com.windomain.local"
"2370","13.915582","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x66f7 A LzIOPkPb.reddshrimpandherring.com"
"2372","13.938451","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x269f A LzIOPkPb.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2374","13.950020","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x8576 A LzIOPkPb.reddshrimpandherring.com.windomain.local"
"2376","13.960458","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xe998 A gxp8M51b.reddshrimpandherring.com"
"2380","14.029124","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x54c5 A gxp8M51b.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2382","14.041982","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9212 A gxp8M51b.reddshrimpandherring.com.windomain.local"
"2384","14.053088","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x70d3 A +nB4/jzJ.reddshrimpandherring.com"
"2392","14.065411","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xbd6b A +nB4/jzJ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2395","14.077717","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x7a8e A +nB4/jzJ.reddshrimpandherring.com.windomain.local"
"2397","14.088413","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x462d A uXhVF4ys.reddshrimpandherring.com"
"2399","14.100211","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3fd1 A uXhVF4ys.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2401","14.113393","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9336 A uXhVF4ys.reddshrimpandherring.com.windomain.local"
"2404","14.123842","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x68e1 A GJlKZrN+.reddshrimpandherring.com"
"2406","14.193241","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x7087 A GJlKZrN+.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2408","14.212713","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x67e9 A GJlKZrN+.reddshrimpandherring.com.windomain.local"
"2410","14.223877","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa67e A 282DOxFJ.reddshrimpandherring.com"
"2412","14.245727","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5f42 A 282DOxFJ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2414","14.259080","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3b4c A 282DOxFJ.reddshrimpandherring.com.windomain.local"
"2416","14.269918","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x1378 A zpt1YuKN.reddshrimpandherring.com"
"2418","14.315290","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5009 A zpt1YuKN.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2420","14.328716","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xce0c A zpt1YuKN.reddshrimpandherring.com.windomain.local"
"2422","14.339136","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x73bf A NRsUAHXx.reddshrimpandherring.com"
"2426","14.384959","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x72ed A NRsUAHXx.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2428","14.398424","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xfdaf A NRsUAHXx.reddshrimpandherring.com.windomain.local"
"2436","14.408745","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x8171 A oDIrXLVR.reddshrimpandherring.com"
"2440","14.478924","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x2367 A oDIrXLVR.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2442","14.492508","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb782 A oDIrXLVR.reddshrimpandherring.com.windomain.local"
"2444","14.503146","192.168.38.104","18.217.1.57","DNS","93","Standard query 0x531d A M3hmMWxf.reddshrimpandherring.com"
"2446","14.554475","192.168.38.104","18.217.1.57","DNS","131","Standard query 0x3bd6 A M3hmMWxf.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2448","14.605726","192.168.38.104","18.217.1.57","DNS","109","Standard query 0x9e21 A M3hmMWxf.reddshrimpandherring.com.windomain.local"
"2672","14.658202","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xfd9e A Mk5HboDA.reddshrimpandherring.com"
"2798","14.670861","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x2fda A Mk5HboDA.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2843","14.682230","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3790 A Mk5HboDA.reddshrimpandherring.com.windomain.local"
"2854","14.694663","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0af7 A JX5nT3mx.reddshrimpandherring.com"
"2856","14.709127","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb1be A JX5nT3mx.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2858","14.722383","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xd087 A JX5nT3mx.reddshrimpandherring.com.windomain.local"
"2860","14.734902","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x17e9 A Q9yUm/uO.reddshrimpandherring.com"
"2868","14.750959","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x597c A Q9yUm/uO.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2871","14.772895","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xe559 A Q9yUm/uO.reddshrimpandherring.com.windomain.local"
"2873","14.783475","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xb72a A GBsIaOVw.reddshrimpandherring.com"
"2876","14.827382","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x9b59 A GBsIaOVw.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2878","14.838792","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x2673 A GBsIaOVw.reddshrimpandherring.com.windomain.local"
"2880","14.851410","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xdbf8 A udbwL8HA.reddshrimpandherring.com"
"2882","14.873833","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1e52 A udbwL8HA.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2884","14.884906","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xf8bd A udbwL8HA.reddshrimpandherring.com.windomain.local"
"2886","14.895534","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6966 A UtR5YJk0.reddshrimpandherring.com"
"2888","14.909629","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x9dbc A UtR5YJk0.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2890","14.921518","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x247f A UtR5YJk0.reddshrimpandherring.com.windomain.local"
"2892","14.931969","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x70d2 A hTid4evh.reddshrimpandherring.com"
"2894","14.945893","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8e3b A hTid4evh.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2896","14.956822","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x213c A hTid4evh.reddshrimpandherring.com.windomain.local"
"2898","14.967126","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x2872 A ky4GGyGX.reddshrimpandherring.com"
"2900","15.011162","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xc256 A ky4GGyGX.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2902","15.023223","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x4f42 A ky4GGyGX.reddshrimpandherring.com.windomain.local"
"2906","15.033562","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0c11 A XJbKd2Gc.reddshrimpandherring.com"
"2910","15.078436","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x653b A XJbKd2Gc.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2917","15.098515","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc841 A XJbKd2Gc.reddshrimpandherring.com.windomain.local"
"2919","15.109169","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x164c A yHINlfmQ.reddshrimpandherring.com"
"2921","15.121449","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa88b A yHINlfmQ.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2924","15.132848","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x8885 A yHINlfmQ.reddshrimpandherring.com.windomain.local"
"2926","15.143911","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa80b A TerVtBw4.reddshrimpandherring.com"
"2928","15.158927","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x062e A TerVtBw4.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2930","15.170552","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5e37 A TerVtBw4.reddshrimpandherring.com.windomain.local"
"2932","15.181388","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc778 A rgiQTZeg.reddshrimpandherring.com"
"2934","15.203311","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x4330 A rgiQTZeg.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2936","15.214694","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0e09 A rgiQTZeg.reddshrimpandherring.com.windomain.local"
"2938","15.225081","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0d31 A mqqZKNFc.reddshrimpandherring.com"
"2940","15.239688","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0f65 A mqqZKNFc.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2942","15.251299","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xba98 A mqqZKNFc.reddshrimpandherring.com.windomain.local"
